price,geometry
9.25e+08,-74.03169|4.715998
1.199e+09,-74.072|4.657
3e+08,-74.06875|4.618894
5.15e+08,-74.04318|4.717129
4.2e+08,-74.06407|4.632068
1.9e+08,-74.02921|4.756283
1.68e+08,-74.088|4.604
5.17e+08,-74.05251|4.675927
3.7e+08,-74.096|4.658
6e+08,-74.07316|4.72303
5.55e+08,-74.06286|4.723553
2.69e+08,-74.041|4.704
5e+08,-74.07695|4.720064
5.6e+08,-74.05203|4.672941
1.8e+09,-74.059|4.69
5e+07,-74.048|4.581
3e+08,-74.113|4.667
449990000,-74.137|4.605
2.75e+08,-74.132|4.659
3.47e+08,-74.04609|4.72313
3.5e+08,-74.058|4.73423
2.8e+08,-74.128|4.71
4.5e+08,-74.03846|4.728078
6e+08,-74.08553|4.59019
1.98e+08,-74.10035|4.727536
5.5e+07,-74.12379|4.726299
9.29e+08,-74.07469|4.718227
1e+09,-74.044|4.68
3.4e+08,-74.06375|4.731726
5e+08,-74.07743|4.61144
5.1e+08,-74.049|4.716
9e+10,-74.0851|4.683468
5.2e+08,-74.059|4.643
1.29e+09,-74.05|4.658
1.9e+08,-74.073|4.716
1.296e+09,-74.04107|4.702097
1.87e+08,-74.069|4.613338
5.6e+08,-74.08439|4.744756
1.05e+09,-74.049|4.65
4.5e+08,-74.15432|4.686231
8e+07,-74.089|4.551
7.5e+08,-74.05418|4.689706
8.2e+08,-74.044|4.702
3.4e+08,-74.061|4.639
8.5e+08,-74.07079|4.731361
6.3e+08,-74.0358|4.725806
1.1e+09,-74.0608|4.657808
1.9e+09,-74.062|4.635
2.4e+07,-74.04806|4.751762
9e+08,-74.0333|4.701365
2.5e+08,-74.08656|4.73871
1.35e+09,-74.052|4.669
1.29e+09,-74.08413|4.720871
3.1e+08,-74.0311|4.723192
4.2e+08,-74.066|4.709
