price,lat,lon
1.98e+08,4.727536,-74.10035
5.5e+07,4.726299,-74.12379
9.29e+08,4.718227,-74.07469
1e+09,4.68,-74.044
3.4e+08,4.731726,-74.06375
5e+08,4.61144,-74.07743
5.1e+08,4.716,-74.049
9e+10,4.683468,-74.0851
5.2e+08,4.643,-74.059
1.29e+09,4.658,-74.05
1.9e+08,4.716,-74.073
1.296e+09,4.702097,-74.04107
1.87e+08,4.613338,-74.069
5.6e+08,4.744756,-74.08439
1.05e+09,4.65,-74.049
4.5e+08,4.686231,-74.15432
8e+07,4.551,-74.089
7.5e+08,4.689706,-74.05418
8.2e+08,4.702,-74.044
3.4e+08,4.639,-74.061
8.5e+08,4.731361,-74.07079
6.3e+08,4.725806,-74.0358
1.1e+09,4.657808,-74.0608
1.9e+09,4.635,-74.062
2.4e+07,4.751762,-74.04806
9e+08,4.701365,-74.0333
2.5e+08,4.73871,-74.08656
1.35e+09,4.669,-74.052
1.29e+09,4.720871,-74.08413
3.1e+08,4.723192,-74.0311
4.2e+08,4.709,-74.066
